arg1 sensekey,arg1 offset,relation,arg2 sensekey,arg2 offset,arg1 gloss (abbreviated),arg2 gloss (abbreviated)
bury%2:35:00::,201234625,event,burial%1:04:00::,101050627,place in the earth and cover with soil; ...,concealing something under the ground
carouse%2:41:00::,202493260,event,carousal%1:04:00::,100511041,"engage in boisterous, drunken merrymakin...",revelry in drinking; a merry drinking pa...
commit%2:41:00::,202582615,event,committal%1:04:01::,100773235,"perform an act, usually with a negative ...",the act of committing a crime
commit%2:40:02::,202348568,event,committal%1:04:00::,101165692,cause to be admitted; of persons to an i...,the official act of consigning a person ...
confer%2:40:00::,202263346,event,conferral%1:04:00::,101086356,"present; ""The university conferred a deg...",the act of conferring an honor or presen...
constitutionalize%2:38:00::,201882479,event,constitutional%1:04:00::,100284544,take a walk for one's health or to aid d...,a regular walk taken as a form of exerci...
court-martial%2:41:01::,202499172,event,court-martial%1:04:00::,101196316,subject to trial by court-martial,a trial that is conducted by a military ...
deal%2:40:01::,202294436,event,deal%1:04:01::,101084637,"administer or bestow, as in small portio...",the act of apportioning or distributing ...
deal%2:40:07::,202294179,event,deal%1:04:01::,101084637,give out as one's portion or share,the act of apportioning or distributing ...
deal%2:40:06::,202246686,event,deal%1:04:00::,101085337,"give (a specific card) to a player; ""He ...","the act of distributing playing cards; ""..."
deal%2:40:02::,202246456,event,deal%1:04:00::,101085337,distribute cards to the players in a gam...,"the act of distributing playing cards; ""..."
deal%2:40:11::,202245993,event,deal%1:04:02::,101110274,"sell; ""deal hashish""",a particular instance of buying or selli...
deal%2:40:00::,202244956,event,deal%1:04:02::,101110274,do business; offer for sale as for one's...,a particular instance of buying or selli...
defer%2:42:00::,202642814,event,deferral%1:04:01::,101066881,"hold back to a later time; ""let's postpo...",act of putting off to a future time
defray%2:40:00::,202349945,event,defrayal%1:04:00::,101120448,bear the expenses of,the act of paying money
demur%2:32:02::,201016626,event,demurral%1:10:00::,107209089,enter a demurrer,(law) a formal objection to an opponent'...
deny%2:40:01::,202214190,event,denial%1:10:00::,107204401,"refuse to grant, as of a petition or req...",the act of refusing to comply (as with a...
deny%2:40:04::,202213074,event,denial%1:04:01::,100205649,"deny oneself (something); restrain, espe...",renunciation of your own interests in fa...
deny%2:32:05::,201068380,event,denial%1:04:00::,101198750,deny formally (an allegation of fact by ...,a defendant's answer or plea denying the...
deny%2:32:00::,200816556,event,denial%1:10:01::,107204240,"declare untrue; contradict; ""He denied t...",the act of asserting that something alle...
devise%2:36:00::,201632411,event,devisal%1:04:00::,100940709,"come up with (an idea, plan, explanation...",the act of devising something
disapprove%2:32:00::,200807178,event,disapproval%1:04:00::,100874621,"deem wrong or inappropriate; ""I disappro...",the act of disapproving or condemning
disavow%2:32:00::,200820075,event,disavowal%1:10:00::,107205946,refuse to acknowledge; disclaim knowledg...,denial of any connection with or knowled...
disburse%2:40:00::,202301502,event,disbursal%1:04:00::,101122149,"expend, as from a fund",the act of spending or disbursing money
dismiss%2:41:00::,202402825,event,dismissal%1:04:00::,100216174,terminate the employment of; discharge f...,the termination of someone's employment ...
dismiss%2:32:01::,200900728,event,dismissal%1:10:01::,106689829,end one's encounter with somebody by cau...,permission to go; the sending away of so...
dismiss%2:32:02::,200801626,event,dismissal%1:04:01::,101190172,cease to consider; put out of judicial c...,a judgment disposing of the matter witho...
disperse%2:32:00::,200968211,event,dispersal%1:04:00::,100368592,"cause to become widely known; ""spread in...",the act of dispersing or diffusing somet...
dispose%2:40:00::,202222318,event,disposal%1:04:00::,100043609,"throw or cast away; ""Put away your worri...",the act or means of getting rid of somet...
espouse%2:40:00::,202346895,event,espousal%1:04:00::,100180413,"choose and follow; as of theories, ideas...",the act of accepting with approval; favo...
espy%2:39:00::,202154312,event,espial%1:04:00::,100151087,catch sight of,the act of detecting something; catching...
intersperse%2:35:02::,201376620,event,interspersal%1:04:00::,100381326,"place at intervals in or among; ""intersp...",the act of combining one thing at interv...
misconstrue%2:31:01::,200619869,event,misconstrual%1:10:00::,107174877,"interpret in the wrong way; ""Don't misin...",a kind of misinterpretation resulting fr...
misdeal%2:40:00::,202246908,event,misdeal%1:04:00::,101085567,deal cards wrongly,an incorrect deal
peal%2:39:00::,202181402,event,peal%1:11:00::,107389330,"ring recurrently; ""bells were pealing""",a deep prolonged sound (as of thunder or...
peal%2:39:01::,202180898,event,peal%1:11:00::,107389330,"sound loudly and sonorously; ""the bells ...",a deep prolonged sound (as of thunder or...
peruse%2:39:00::,202152812,event,perusal%1:10:00::,106598445,examine or consider with attention and i...,reading carefully with intent to remembe...
portray%2:36:01::,201723690,event,portrayal%1:04:02::,100548802,"assume or act the character of; ""She imp...",acting the part of a character on stage;...
procure%2:40:00::,202238770,event,procural%1:04:00::,100083729,"get by special effort; ""He procured extr...",the act of getting possession of somethi...
propose%2:32:01::,200879764,event,proposal%1:10:02::,107161741,"ask (someone) to marry you; ""he popped t...",an offer of marriage
propose%2:32:00::,200875394,event,proposal%1:10:01::,107161429,"make a proposal, declare a plan for some...","the act of making a proposal; ""they list..."
reappraise%2:31:00::,200682592,event,reappraisal%1:09:00::,105747582,"appraise anew; ""Homes in our town are re...",a new appraisal or evaluation
rebury%2:41:00::,202456851,event,reburial%1:04:00::,101050763,"bury again; ""After the king's body had b...",the act of burying again
rebut%2:32:00::,200814850,event,rebuttal%1:10:00::,107201220,"overthrow by argument, evidence, or proo...",the speech act of refuting by offering a...
recite%2:36:00::,201703454,event,recital%1:10:02::,107234881,"render verbally, ""recite a poem""; ""retel...",a public instance of reciting or repeati...
recite%2:32:01::,200953216,event,recital%1:10:04::,107221756,"narrate or give a detailed account of; ""...",a detailed account or description of som...
recite%2:32:01::,200953216,event,recital%1:10:01::,107220773,"narrate or give a detailed account of; ""...",the act of giving an account describing ...
recuse%2:32:00::,200972867,event,recusal%1:04:00::,101080062,disqualify oneself (as a judge) in a par...,(law) the disqualification of a judge or...
refer%2:38:00::,201952898,event,referral%1:04:00::,100121904,"send or direct for treatment, informatio...",the act of referring (as forwarding an a...
refuse%2:41:00::,202502916,event,refusal%1:10:01::,107205573,"refuse entrance or membership; ""They tur...",the act of refusing
refuse%2:40:00::,202237338,event,refusal%1:10:00::,106634095,"refuse to accept; ""He refused my offer o...",a message refusing to accept something t...
refuse%2:40:01::,202212825,event,refusal%1:10:01::,107205573,"refuse to let have; ""She denies me every...",the act of refusing
rehearse%2:36:00::,201723224,event,rehearsal%1:04:01::,100897026,engage in a rehearsal (of),a practice session in preparation for a ...
remit%2:30:02::,200268314,event,remittal%1:11:00::,107419960,"diminish or abate; ""The pain finally rem...",an abatement in intensity or degree (as ...
remove%2:41:00::,202404224,event,removal%1:04:02::,100216723,remove from a position or an office,dismissal from office
remove%2:40:00::,202224055,event,removal%1:04:00::,100391599,"dispose of; ""Get rid of these old shoes!...","the act of removing; ""he had surgery for..."
remove%2:30:00::,200173338,event,removal%1:04:00::,100391599,"remove something concrete, as by lifting...","the act of removing; ""he had surgery for..."
renew%2:36:00::,201631072,event,renewal%1:04:01::,101248852,"reestablish on a new, usually improved, ...",the act of renewing
rent%2:40:00::,202208537,event,rental%1:04:00::,101111375,engage for service under a term of contr...,the act of paying for the use of somethi...
repeal%2:32:00::,200799798,event,repeal%1:04:00::,100231887,"cancel officially; ""He revoked the ban o...",the act of abrogating; an official or le...
reprove%2:32:00::,200824066,event,reproval%1:10:00::,106711855,"take to task; ""He admonished the child f...",an act or expression of criticism and ce...
requite%2:40:00::,202344060,event,requital%1:04:00::,101235137,make repayment for or return something,an act of requiting; returning in kind
retrieve%2:40:00::,202247977,event,retrieval%1:04:00::,100045907,"get or find back; recover the use of; ""S...",the act of regaining or saving something...
retrieve%2:31:00::,200607780,event,retrieval%1:09:00::,105761380,recall knowledge from memory; have a rec...,the cognitive operation of accessing inf...
retry%2:41:06::,202501159,event,retrial%1:04:00::,101199365,hear or try a court case anew,a new trial in which issues already liti...
reverse%2:32:00::,200799798,event,reversal%1:09:00::,105789808,"cancel officially; ""He revoked the ban o...",a decision to reverse an earlier decisio...
reverse%2:31:00::,200716130,event,reversal%1:04:06::,101185981,"rule against; ""The Republicans were over...",a judgment by a higher court that the ju...
reverse%2:30:01::,200386715,event,reversal%1:11:00::,107411160,turn inside out or upside down,turning in an opposite direction or posi...
reverse%2:30:01::,200386715,event,reversal%1:04:04::,100346693,turn inside out or upside down,turning in the opposite direction
reverse%2:30:00::,200138508,event,reversal%1:04:00::,100234892,"change to the contrary; ""The trend was r...",a change from one state to the opposite ...
revise%2:32:00::,200996102,event,revisal%1:10:00::,106428976,"make revisions in; ""revise a thesis""",the act of rewriting something
revive%2:30:00::,200169298,event,revival%1:04:01::,101047338,"be brought back to life, consciousness, ...",bringing again into activity and promine...
revive%2:30:01::,200168910,event,revival%1:04:01::,101047338,"restore from a depressed, inactive, or u...",bringing again into activity and promine...
ritualize%2:30:00::,200525446,event,ritual%1:04:01::,101030820,"make or evolve into a ritual; ""The growi...",the prescribed procedure for conducting ...
ritualize%2:30:00::,200525446,event,ritual%1:04:00::,101027859,"make or evolve into a ritual; ""The growi...",any customary observance or practice
scandalise%2:37:00::,201810447,event,scandal%1:11:00::,107306252,"strike with disgust or revulsion; ""The s...",a disgraceful event
scandalize%2:37:00::,201810447,event,scandal%1:11:00::,107306252,"strike with disgust or revulsion; ""The s...",a disgraceful event
spiral%2:38:01::,202049561,event,spiral%1:04:00::,100343606,move in a spiral or zigzag course,flying downward in a helical path with a...
squeal%2:32:01::,201054694,event,squeal%1:11:00::,107395777,"utter a high-pitched cry, characteristic...",a high-pitched howl
steal%2:33:00::,201111458,event,steal%1:04:00::,100725152,steal a base,a stolen base; an instance in which a ba...
suppose%2:32:00::,200917300,event,supposal%1:09:00::,105892096,"express a supposition; ""Let us say that ...",a hypothesis that is taken for granted; ...
suppose%2:31:01::,200633443,event,supposal%1:09:01::,105779712,to believe especially on uncertain or te...,the cognitive process of supposing
suppose%2:31:00::,200631737,event,supposal%1:09:01::,105779712,"expect, believe, or suppose; ""I imagine ...",the cognitive process of supposing
surmise%2:31:00::,200689205,event,surmisal%1:10:00::,106782680,infer from incomplete evidence,a message expressing an opinion based on...
surprise%2:41:00::,202596493,event,surprisal%1:04:00::,100553655,"come upon or take unawares; ""She surpris...",the act of surprising someone
surprise%2:31:00::,200725274,event,surprisal%1:04:00::,100553655,"cause to be surprised; ""The news really ...",the act of surprising someone
try%2:34:00::,201195299,event,trial%1:09:00::,105799212,"take a sample of; ""Try these new cracker...","trying something to find out about it; ""..."
upheave%2:35:00::,201456088,event,upheaval%1:11:00::,107375781,lift forcefully from beneath,(geology) a rise of land to a higher ele...
withdraw%2:41:00::,202428487,event,withdrawal%1:04:00::,100053913,"break from a meeting or gathering; ""We a...","the act of withdrawing; ""the withdrawal ..."
withdraw%2:41:03::,202380760,event,withdrawal%1:04:00::,100053913,"retire gracefully; ""He bowed out when he...","the act of withdrawing; ""the withdrawal ..."
withdraw%2:41:01::,202380009,event,withdrawal%1:04:01::,100384933,"withdraw from active participation; ""He ...",formal separation from an alliance or fe...
withdraw%2:40:00::,202311387,event,withdrawal%1:04:03::,101262713,remove (a commodity) from (a supply sour...,the act of taking out money or other cap...
withdraw%2:38:00::,201994442,event,withdrawal%1:04:00::,100053913,"pull back or move away or backward; ""The...","the act of withdrawing; ""the withdrawal ..."
withdraw%2:37:00::,201766952,event,withdrawal%1:12:00::,107506031,"lose interest; ""he retired from life whe...",avoiding emotional involvement
withdraw%2:35:00::,201511380,event,withdrawal%1:04:00::,100053913,"release from something that holds fast, ...","the act of withdrawing; ""the withdrawal ..."
withdraw%2:32:00::,200799383,event,withdrawal%1:04:00::,100053913,make a retreat from an earlier commitmen...,"the act of withdrawing; ""the withdrawal ..."
withdraw%2:32:01::,200799076,event,withdrawal%1:10:00::,107206302,"take back what one has said; ""He swallow...",a retraction of a previously held positi...
withdraw%2:30:00::,200495998,event,withdrawal%1:04:00::,100053913,"keep away from others; ""He sequestered h...","the act of withdrawing; ""the withdrawal ..."
withdraw%2:30:01::,200173338,event,withdrawal%1:04:00::,100053913,"remove something concrete, as by lifting...","the act of withdrawing; ""the withdrawal ..."
charcoal%2:36:00::,201693138,instrument,charcoal%1:06:00::,103007824,"draw, trace, or represent with charcoal",a stick of black carbon material used fo...
pedal%2:38:00::,201935476,instrument,pedal%1:06:00::,103903424,ride a bicycle,a lever that is operated with the foot
seal%2:35:03::,201354006,instrument,seal%1:06:02::,104159354,"make tight; secure against leakage; ""sea...",fastener that provides a tight and perfe...
corral%2:35:00::,201600478,location,corral%1:06:00::,103124590,"enclose in a corral; ""corral the horses""...",a pen for cattle
hospitalize%2:40:00::,202348927,location,hospital%1:14:00::,108054417,"admit into a hospital; ""Mother had to be...",a medical institution where sick or inju...
hospitalize%2:40:00::,202348927,location,hospital%1:06:00::,103540595,"admit into a hospital; ""Mother had to be...",a health facility where patients receive...
approbate%2:32:00::,200803815,by-means-of,approval%1:10:00::,106686736,approve or sanction officially,a message expressing a favorable opinion...
canalise%2:38:00::,201933900,by-means-of,canal%1:06:00::,102947212,"direct the flow of; ""channel information...",long and narrow strip of water made for ...
canalize%2:38:00::,201933900,by-means-of,canal%1:08:00::,105250659,"direct the flow of; ""channel information...",a bodily passage or tube lined with epit...
canalize%2:38:00::,201933900,by-means-of,canal%1:06:00::,102947212,"direct the flow of; ""channel information...",long and narrow strip of water made for ...
dial%2:31:00::,200676135,by-means-of,dial%1:06:01::,103186818,"choose by means of a dial; ""dial a telep...",a disc on a telephone that is rotated a ...
editorialize%2:32:00::,201027924,by-means-of,editorial%1:10:00::,106268567,insert personal opinions into an objecti...,an article giving opinions or perspectiv...
initial%2:32:00::,200997307,by-means-of,initial%1:10:00::,106830997,mark with one's initials,the first letter of a word (especially a...
scandalise%2:37:00::,201810447,by-means-of,scandal%1:10:00::,107223811,"strike with disgust or revulsion; ""The s...",disgraceful gossip about the private liv...
scandalize%2:37:00::,201810447,by-means-of,scandal%1:10:00::,107223811,"strike with disgust or revulsion; ""The s...",disgraceful gossip about the private liv...
seal%2:35:00::,201353405,by-means-of,seal%1:10:01::,106855985,"close with or as if with a seal; ""She se...",a stamp affixed to a document (as to att...
seal%2:35:00::,201353405,by-means-of,seal%1:06:00::,104159058,"close with or as if with a seal; ""She se...",a device incised to make an impression; ...
signal%2:32:00::,201039330,by-means-of,signal%1:10:00::,106791372,communicate silently and non-verbally by...,any nonverbal action or gesture that enc...
signal%2:32:01::,200921300,by-means-of,signal%1:10:00::,106791372,"be a signal for or a symptom of; ""These ...",any nonverbal action or gesture that enc...
signalize%2:32:01::,201039330,by-means-of,signal%1:10:00::,106791372,communicate silently and non-verbally by...,any nonverbal action or gesture that enc...
signalize%2:32:02::,200924612,by-means-of,signal%1:10:00::,106791372,point out carefully and clearly,any nonverbal action or gesture that enc...
signalize%2:32:00::,200922438,by-means-of,signal%1:10:00::,106791372,make conspicuous or noteworthy,any nonverbal action or gesture that enc...
coal%2:35:00::,201599983,undergoer,coal%1:27:00::,114814616,"take in coal; ""The big ship coaled""",fossil fuel consisting of carbonized veg...
deal%2:40:06::,202246686,undergoer,deal%1:14:00::,107956887,"give (a specific card) to a player; ""He ...",the cards held in a card game by a given...
deal%2:40:02::,202246456,undergoer,deal%1:14:00::,107956887,distribute cards to the players in a gam...,the cards held in a card game by a given...
dial%2:32:00::,200790308,undergoer,dial%1:06:01::,103186818,operate a dial to select a telephone num...,a disc on a telephone that is rotated a ...
madrigal%2:36:00::,201732014,undergoer,madrigal%1:10:00::,107052925,"sing madrigals; ""The group was madrigali...",an unaccompanied partsong for 2 or 3 voi...
remit%2:40:00::,202255081,undergoer,remittal%1:21:00::,113299453,"send (money) in payment; ""remit $25""",a payment of money sent to a person in a...
seal%2:35:01::,201356582,undergoer,seal%1:10:01::,106855985,"affix a seal to; ""seal the letter""",a stamp affixed to a document (as to att...
seal%2:35:01::,201356582,undergoer,seal%1:06:00::,104159058,"affix a seal to; ""seal the letter""",a device incised to make an impression; ...
seal%2:35:01::,201356582,undergoer,seal%1:06:01::,104160036,"affix a seal to; ""seal the letter""",fastener consisting of a resinous compos...
seal%2:33:00::,201143498,undergoer,seal%1:05:00::,102076196,hunt seals,any of numerous marine mammals that come...
appeal%2:37:00::,201807882,property,appeal%1:07:00::,104687333,"be attractive to; ""The idea of a vacatio...",attractiveness that interests or pleases...
acquit%2:32:00::,200904046,result,acquittal%1:04:00::,101193886,pronounce not guilty of criminal charges...,a judgment of not guilty
animalise%2:36:00::,201680756,result,animal%1:03:00::,100015388,represent in the form of an animal,a living organism characterized by volun...
animalize%2:36:00::,201680756,result,animal%1:03:00::,100015388,represent in the form of an animal,a living organism characterized by volun...
cabal%2:31:00::,200706975,result,cabal%1:09:00::,105908882,engage in plotting or enter into a consp...,a plot to carry out some harmful or ille...
capitalise%2:36:00::,201692266,result,capital%1:10:00::,106824227,write in capital letters,one of the large alphabetic characters u...
capitalise%2:31:01::,200731159,result,capital%1:21:01::,113354420,compute the present value of a business ...,assets available for use in the producti...
capitalise%2:31:01::,200731159,result,capital%1:21:00::,113353607,compute the present value of a business ...,wealth in the form of money or property ...
capitalise%2:30:00::,200162167,result,capital%1:21:01::,113354420,convert (a company's reserve funds) into...,assets available for use in the producti...
capitalize%2:36:00::,201692266,result,capital%1:10:00::,106824227,write in capital letters,one of the large alphabetic characters u...
capitalize%2:31:01::,200731159,result,capital%1:21:01::,113354420,compute the present value of a business ...,assets available for use in the producti...
capitalize%2:30:00::,200162167,result,capital%1:21:01::,113354420,convert (a company's reserve funds) into...,assets available for use in the producti...
charcoal%2:36:00::,201693138,result,charcoal%1:06:01::,103007955,"draw, trace, or represent with charcoal",a drawing made with a stick of black car...
coal%2:43:00::,202771997,result,coal%1:27:00::,114814616,"burn to charcoal; ""Without a drenching r...",fossil fuel consisting of carbonized veg...
coal%2:43:00::,202771997,result,coal%1:17:00::,109273130,"burn to charcoal; ""Without a drenching r...",a hot fragment of wood or coal that is l...
construe%2:31:00::,200623151,result,construal%1:10:00::,106742630,"make sense of; assign a meaning to; ""Wha...",an interpretation of the meaning of some...
crystalize%2:30:01::,200445940,result,crystal%1:27:01::,114879750,cause to form crystals or assume crystal...,colorless glass made of almost pure sili...
crystalize%2:30:01::,200445940,result,crystal%1:27:00::,114883206,cause to form crystals or assume crystal...,a solid formed by the solidification of ...
crystalize%2:30:01::,200445940,result,crystal%1:17:00::,109260466,cause to form crystals or assume crystal...,a rock formed by the solidification of a...
crystalize%2:30:00::,200443670,result,crystal%1:27:01::,114879750,assume crystalline form; become crystall...,colorless glass made of almost pure sili...
crystalize%2:30:00::,200443670,result,crystal%1:27:00::,114883206,assume crystalline form; become crystall...,a solid formed by the solidification of ...
crystalize%2:30:00::,200443670,result,crystal%1:17:00::,109260466,assume crystalline form; become crystall...,a rock formed by the solidification of a...
crystallize%2:30:01::,200445940,result,crystal%1:27:01::,114879750,cause to form crystals or assume crystal...,colorless glass made of almost pure sili...
crystallize%2:30:01::,200445940,result,crystal%1:27:00::,114883206,cause to form crystals or assume crystal...,a solid formed by the solidification of ...
crystallize%2:30:00::,200443670,result,crystal%1:27:01::,114879750,assume crystalline form; become crystall...,colorless glass made of almost pure sili...
crystallize%2:30:00::,200443670,result,crystal%1:27:00::,114883206,assume crystalline form; become crystall...,a solid formed by the solidification of ...
deal%2:41:02::,202445509,result,deal%1:11:00::,107293180,direct the course of; manage or control;...,the type of treatment received (especial...
decimalise%2:30:01::,200530829,result,decimal%1:23:00::,113736197,"change from fractions to decimals; ""Stoc...",a proper fraction whose denominator is a...
decimalise%2:30:00::,200530592,result,decimal%1:23:01::,113585309,"change to the decimal system; ""The count...",a number in the decimal system
decimalize%2:30:01::,200530829,result,decimal%1:23:00::,113736197,"change from fractions to decimals; ""Stoc...",a proper fraction whose denominator is a...
decimalize%2:30:00::,200530592,result,decimal%1:23:01::,113585309,"change to the decimal system; ""The count...",a number in the decimal system
diagonalise%2:30:00::,200521874,result,diagonal%1:14:01::,108268321,transform a matrix to a diagonal matrix,(mathematics) a set of entries in a squa...
diagonalize%2:30:00::,200521874,result,diagonal%1:14:01::,108268321,transform a matrix to a diagonal matrix,(mathematics) a set of entries in a squa...
foal%2:29:00::,200057895,result,foal%1:05:00::,102376542,"give birth to a foal; ""the mare foaled""",a young horse
idealise%2:31:00::,200692907,result,ideal%1:09:00::,105923696,"consider or render as ideal; ""She ideali...",the idea of something that is perfect; s...
idealise%2:31:01::,200624967,result,ideal%1:09:00::,105923696,"form ideals; ""Man has always idealized""",the idea of something that is perfect; s...
idealize%2:31:00::,200692907,result,ideal%1:09:00::,105923696,"consider or render as ideal; ""She ideali...",the idea of something that is perfect; s...
idealize%2:31:01::,200624967,result,ideal%1:09:00::,105923696,"form ideals; ""Man has always idealized""",the idea of something that is perfect; s...
integrate%2:31:00::,200642980,result,integral%1:09:00::,106015505,calculate the integral of; calculate by ...,the result of a mathematical integration...
portray%2:36:02::,201688771,result,portrayal%1:04:00::,100900726,"represent abstractly, for example in a p...",representation by drawing or painting et...
portray%2:36:00::,201688256,result,portrayal%1:09:00::,105766984,"make a portrait of; ""Goya wanted to port...",a representation by picture or portraitu...
portray%2:32:00::,200988890,result,portrayal%1:10:01::,107202391,"portray in words; ""The book portrays the...",a word picture of a person's appearance ...
shoal%2:30:01::,200536143,result,shoal%1:17:01::,109433134,"make shallow; ""The silt shallowed the ca...",a stretch of shallow water
shoal%2:30:00::,200535988,result,shoal%1:17:01::,109433134,"become shallow; ""the lake shallowed over...",a stretch of shallow water
spiral%2:42:00::,202738544,result,spiral%1:25:01::,113876561,"form a spiral; ""The path spirals up the ...",a curve that lies on the surface of a cy...
spiral%2:42:00::,202738544,result,spiral%1:25:00::,113876371,"form a spiral; ""The path spirals up the ...",a plane curve traced by a point circling...
spiral%2:38:00::,202049190,result,spiral%1:06:00::,103065424,"to wind or move in a spiral course; ""the...",a structure consisting of something woun...
spiral%2:38:00::,202049190,result,spiral%1:25:00::,113876371,"to wind or move in a spiral course; ""the...",a plane curve traced by a point circling...
total%2:42:00::,202645007,result,total%1:06:00::,104353803,"add up in number or quantity; ""The bills...",the whole amount
total%2:42:00::,202645007,result,total%1:09:00::,105861067,"add up in number or quantity; ""The bills...",a quantity obtained by the addition of a...
total%2:32:00::,200949288,result,total%1:06:00::,104353803,"determine the sum of; ""Add all the peopl...",the whole amount
total%2:32:00::,200949288,result,total%1:09:00::,105861067,"determine the sum of; ""Add all the peopl...",a quantity obtained by the addition of a...
transfer%2:40:01::,202232190,result,transferral%1:04:00::,100315986,"move from one place to another; ""transfe...",the act of moving something from one loc...
transfer%2:35:00::,201435380,result,transferral%1:04:00::,100315986,send from one person or place to another...,the act of moving something from one loc...
transmit%2:38:00::,202079933,result,transmittal%1:04:00::,100121366,transmit or serve as the medium for tran...,the act of sending a message; causing a ...
transmit%2:35:00::,201435380,result,transmittal%1:04:00::,100121366,send from one person or place to another...,the act of sending a message; causing a ...
